goal;sdt-cluster;title;description;gpt_sector;gpt_sector_reason;source;label_manual
I would like to be intelligent or smart..;competence;Associate Policy and Best Practices Officer;"Under the direct supervision of the PBPO, the APBPO will carry out the following duties:

1) Promote and facilitate organization learning and the sharing of knowledge within the Mission and between the Mission and other missions and UNHQ:
• In consultation with the PBPO and the Chief of Staff and assisted by the Policy and Best Practices Service at UN Headquarters, support the knowledge management action plan that will address the Mission's operational learning needs;
• Promote the active use throughout the Mission of the DPO-DOS knowledge-sharing tools and systems, such as the Policy and Practice Database, End of Assignment Reports, Surveys of Practice and After-Action Reviews, including through the establishment and support of a network of best practices focal points within the Mission;
• Support the Mission Chief of Staff and other senior Mission managers upon request, in identifying gaps in existing official guidance, as identified through needs assessments, evaluations, lessons learned studies, etc., and developing guidance where needed, based on identified gaps;
• Provide inputs to draft guidance as needed, when consulted by UNHQ offices;
• Initiate and coordinate outreach activities, conduct training workshops, seminars, etc.; make presentations on policy, best practices and lessons learning issues;
• Facilitate and/or generate good practices and lessons learned on various Mission work processes, operational responses, organizational systems, mandate implementation, etc.;
• Research, analyze and present information gathered from diverse sources;
• Collect, store and share best practice materials originating in the Mission with UNHQ and other Missions through the Policy and Practice Database, Communities of Practice and other channels and information
• Prepare and share with Mission leadership syntheses of lessons learned and recommendations documented in the Mission's knowledge sharing reports, as required;
• Organize follow-up action as required on studies undertaken, seminars or workshops on Mission-specific best practices and lessons learned activities;
• Liaise and coordinate with UN partner organizations, national and international organizations and academic institutions on all issues related to lessons learning and knowledge sharing;
• Provide other learning and research services to the Mission as required.

2) Support the establishment of a Mission-wide system of guidance development based on lessons learned and good practice:
• Promote the integration of lessons learned, good practices and other operational knowledge into work processes, guidance, and planning scenarios;
• Develop, on behalf of the Mission management, an appropriate mechanism for considering and, following up on local-level recommendations generated by knowledge sharing mechanisms;
• Take an active part in the network of Policy and Best Practices Officers and in developing and maintaining the network of Mission focal points;
• In consultation with the Mission Chief of Staff and the senior Mission leadership and supported by the Policy and Best Practices Service (UNHQ), assist the Mission with designing and implementing a mission-specific guidance development process;
• Support the Mission Chief of Staff and other senior Mission managers upon request, with the development, review, approval and dissemination of mission-specific guidance;
• Support alignment of DPO-DOS policy development priorities with Mission guidance development priorities;
• In consultation with the Mission Chief of Staff and the senior Mission leadership, and assisted by the Policy and Best Practices Service (UNHQ), support coordination of and/or implement policy reviews and studies;
• Coordinate policy development on cross-cutting issues, including the review and analysis of issues and trends, preparation of evaluations or other research activities and studies;
• Liaise with UN partner organizations, national and international organizations and academic institutions on all issues related to policy/guidance development.";Politische Arbeit und Interessensvertretung;Entwicklung und Umsetzung von Richtlinien;UN;1.0
I would like to be efficient, not waste time..;competence;Media & Communications Associate;"Under the direct supervision of the Communications Assistant, the UN Volunteer will undertake the following tasks: 
	Support to draft press release, press note/ briefing, project factsheets, PowerPoint presen-tation, meeting minutes, newsletters, awareness raising materials and other materials;  
	Assist in developing human-interest stories, Information, Education and Communications (IEC) materials and awareness raising materials across portfolios (Labour Migration and Human Development, Counter-trafficking, Immigration and Border Management and Mi-gration Health etc) for internal and external engagement, including social media visuals, graphic and video contents. 
	Support in managing institutional social media accounts, including drafting, creating con-tent, and maintaining social media contents. 
	Provide support on communications, photography, video production, and editing for IOM activities across the organizational portfolios. 
	Enhance existing internal documentation and knowledge management through various platform on IOM’s mandate in compliance with the requirements at HQ, regional, and country level;
	Support in ensuring extensive media coverage in coordination with relevant units and stakeholders in organizing awareness raising activities.
	Assist IOM or UN Communications Group (UNCG) activities as needed. 
	Support in reviewing all communication material developed and ensure compliance with IOM and donor branding guidelines across portfolios;
	Engage in duty travel related to programme activities, as needed;
	Perform other duties as may be assigned.
";Politische Arbeit und Interessensvertretung;Unterstützung bei Kommunikation und Öffentlichkeitsarbeit.;UN;0.0
I would like to improve my resilience;competence;Social Media Officer;"Within the delegated authority and under the supervision of UNIC Tokyo or her/his designated mandated representative(s), the UNV Social Media Officer will:
• Research local and global topics to be shared on social media in line with the UN’s guidelines and guidance on the use of social media.
• Update and manage editorial calendar of scheduled posts in discussion with relevant UNIC Tokyo member.
• Create contents using photos, graphics, and videos provided by the UN system with explanations in texts.
• Ensure timely dissemination of content on UNIC Tokyo’s accounts.
• Prepare and publish blog articles.
• Monitor the result of UNIC Tokyo’s posts and share the analysis with UNIC Tokyo member.
• Monitor trends and risks on social media and report the analysis to UNIC Tokyo member.
• Monitor trends and risks on information integrity on digital platforms and report the analysis to UNIC Tokyo member.
• Supervise intern(s) who will be supporting social media communications.
• Coordinate with staff and other colleagues of UNIC Tokyo, staff in the Department of Global Communications, other UN agencies, and non-UN partners to prepare and cross-promote social media contents to reach wider audience.
• Any other related tasks as may be required or assigned by the supervisor.

Furthermore, UN Volunteers are encouraged to integrate the UN Volunteers programme mandate within their assignment and promote voluntary action through engagement with communities in the course of their work. As such, UN Volunteers should dedicate a part of their working time to some of the following suggested activities:

• Strengthen their knowledge and understanding of the concept of volunteerism by reading relevant UNV and external publications and take active part in UNV activities (for instance in events that mark International Volunteer Day);
• Be acquainted with and build on traditional and/or local forms of volunteerism in the host country;
• Provide annual and end of assignment self-reports on UN Volunteer actions, results and opportunities.
• Contribute articles/write-ups on field experiences and submit them for UNV publications/websites, newsletters, press releases, etc.;
• Assist with the UNV Buddy Programme for newly-arrived UN Volunteers;
• Promote or advise local groups in the use of online volunteering or encourage relevant local individuals and organizations to use the UNV Online Volunteering service whenever technically possible.

Results/expected outputs:

• As an active UNIC Tokyo team member, efficient, timely, responsive, client-oriented and high-quality support rendered to the Department of Global Communications and its beneficiaries in the accomplishment of her/his functions, including:
o UN’s messages and updates are conveyed to the Japanese public through social media and blog;
o Results and impact of social media communications activities are monitored and analyzed, and strategic use of social media, is improved based on the insights gained from the analysis;
o Trends and perceptions regarding the UN in social media are monitored and analyzed for improvement;
• Age, Gender and Diversity (AGD) perspective is systematically applied, integrated and documented in all activities throughout the assignment
• A final statement of achievements towards volunteerism for peace and development during the assignment, such as reporting on the number of volunteers mobilized, activities participated in and capacities developed";Politische Arbeit und Interessensvertretung;Promoting UN's messages and updates;UN;0.0
I would like to overcome failure.;competence;"Newsletter Editor
          
          


Save to Favorites";Goodbot is an interdisciplinary community of socially-minded professionals working in law, technology, design, social sciences, and policy. Our purpose is to support the development of trusted, accountable, and socially sustainable technology ecosystems by strengthening awareness, research, policy, and practice.We offer professional services to help technology companies develop and embed measurable social impact strategies into their products and business models and help them to navigate a complex and rapidly evolving regulatory landscape. We also develop original research on emerging innovation, technology risks and harms, and approaches needed to effectively govern technology and build toward healthy and inclusive digital societies that benefit everyone.Requirements *     Bachelor’s degree in Journalism, Communications, Marketing, or a related field. *     2+ years of experience in writing, editing, or managing newsletters or similar publications. *     Excellent writing, editing, and proofreading skills. *     Strong understanding of content marketing principles. *     Proficiency in email marketing software (e.g., Mailchimp, Constant Contact). *     Familiarity with design tools (e.g., Adobe Creative Suite) is a plus. *     Ability to work independently and meet deadlines. *     Strong analytical skills to assess content performance and make data-driven decisions.Responsibilities *     Write, edit, and proofread newsletter content, ensuring it is clear, concise, and engaging. *     Develop and manage a content calendar to ensure timely and consistent delivery of newsletters. *     Conduct research to stay up-to-date with industry trends and incorporate relevant topics into the newsletter. *     Work closely with the design team to create visually appealing layouts and graphics. *     Analyze audience feedback and metrics to continuously improve content and engagement strategies. *     Collaborate with various departments to gather content and ensure the newsletter aligns with company goals. *     Oversee the distribution process, ensuring newsletters are sent out on schedule. *     Ensure all content adheres to legal standards and company policies.Why you Should Volunteer with Us *     Flexible working from home opportunity *     Opportunity to use your creativity and experience to create impactful change *     Gain experience and insight on the impact of tech on democratic and political institutions,  social trust, mental health, etc. *     Personal and professional development *     Making a meaningful contribution to creating awareness on policies, norms initiatives aimed at strengthening responsible technology  *     Collaborating and networking with an amazing group of multi-national volunteers To apply for this position, please:1. Send your CV to hr@goodbot.ca 2. Complete the application form for prospective volunteers at https://forms.gle/LKCQQ9A3MF22CWBd9;Politische Arbeit und Interessensvertretung;Newsletter zu politischen Themen.;VM;0.0
I would like to be responsible, dependable..;competence;"Grant Writer
          
          


Save to Favorites";Study and understand the history, structure, objectives, programs and financial needs of the organization.Research grant opportunities from government and non-government agencies.Draft grant proposals and supporting documents based on the funding requirements of the organization.Submit proposals to Executive Director for approval.Respond to internal and external queries on drafted and submitted proposals.Maintain positive relationships with fund providers and other stakeholders.Maintain records and submit reports related to grant opportunities.;Politische Arbeit und Interessensvertretung;Funding proposals for organizations.;VM;1.0
I would like to be good at working with mechanical objects and technology..;competence;Social Media Marketing for PHAAE'S ;"The task will be to liaise with the graphic designers to come up with befitting designs according to the theme of the day. The online volunteers will not necessarily be doing the designs but knowlege of design is an added advantage, which could be anything relating to water, sanitation and hygiene and the WASH Debate and we will ensure there is a post for each day across our social media platforms. 

6 online volunteers are needed for this role and the idea is that each volunteer  will work on one of our social media media platform which include Facebook, LinkedIn, Twitter, Instagram, YouTube and Pinterest . A volunteer to a platform,  building content and liasing with the graphic designers to put the content to a design. They can also advice the organization on social media marketing strategies if they are knowledgeable in that area.

Each online volunteer  will be required to come up with tag lines on WASH tailored to the platform they are assigned to work with and this would help the organization advance her focus on Goal 6 of the SDG and the numerous ways it has affected lives. 


";Politische Arbeit und Interessensvertretung;Advancing focus on SDG Goal 6.;UN;0.0
I would like to be able to meet my financial needs..;competence;Educational accompaniment for children;"Activity description
        Paz y Esperanza is a Christian-inspired human rights organisation that works with children, adolescents, women, people with disabilities and indigenous people to be free from various forms of violence and injustice.
The volunteers’ tasks will be the following:
- Accompanying in the design of training materials; 
- Support in lobbying authorities for further support for the growth of an educational centre for deaf children;
Regarding the Programa de Fortalecimiento de la Sociedad Civil (PASC):
- Support in the development of methods/dynamics of integration and emotional management;
- Development of a database for access to social programme services in the fields of health and education;
- Telling life stories and success stories in achieving support for underprivileged children and young people;
- Workshops for parents of children and young people to learn about good parenting and positive parenting.
https://www.pazyesperanza.org/fr/ 

                    Accommodation, food and transport arrangements
        Paz y Esperanza offers the rental of a shared flat with 3 individual bedrooms. The flat has a living-dining room, kitchen, bathroom, toilets, internet connection and all basic services. It is located in the residential area, close to the office on a main avenue where there are different public transport networks. Nearby there are hospitals, shops, restaurants. A few blocks away, the volunteer can find transport to different parts of the city. In terms of food, there are several restaurants in the area that offer a wide variety of food at average costs, corresponding to various food regimes.                    Training during the activity
        The volunteer will be trained in the topics addressed by the Civil Society Strengthening Programme project: systems measuring effects and impacts, advocacy on policies for the inclusion of migrant populations, people with disabilities, children and indigenous peoples. The theoretical learning can be linked to the accompaniment of advocacy spaces such as the roundtables of the National Human Rights Coordinating Committee on disability and mental health issues and work on children's rights and migration. Likewise, through the P&E Induction Course, a better understanding of the demands for rights                    Participant profile
        A volunteer who shares values of justice and solidarity, who orients his/her actions in favour of people in vulnerable situations, especially the population with whom Paz y Esperanza works. Knowledge of and commitment to human rights, preferably with an emphasis on gender justice, and knowledge of the current Latin American context.
Have skills in: the development of educational processes and materials, and in lobbying and citizen activism in human rights.";Religion und Kirche;Die Freiwilligentätigkeit bezieht sich auf Bildungsbegleitung für Kinder in einem christlich inspirierten Menschenrechtsverband.;EU;1.0
Keeping things in order (my desk, office, house, etc.)..;competence;Instandsetzung Milchproduktionshalle;Die Milchproduktionshalle der Mustergemeinde steht seit Jahrzehnten leer. Unser Verein hat sich zum Ziel gesetzt, dieses öffentliche Gebäude und Gelände, im Besitz der Gemeinde instandzusetzen, um es für die lokale Bevölkerung zur Verfügung zu stellen. Geplant ist ein Spielplatz im Außenbereich, Räumlichkeiten für ein Jugendzentrum, ein Proberaum für lokale Musikvereine und Gruppen und noch vieles mehr. Dazu brauchen wir tatkräftige Unterstützung bei diversen handwerklichen und elektrotechnischen Unterfangen!;Reparaturen, handwerkliche Arbeiten;;SELF;0.0
I would like to do things quickly..;competence;"Volunteer Wellness Coordinator Assistant
          
          


Save to Favorites";"NuWave Media
              

NuWave Community Media, a nonprofit dedicated to digital health, education, mental health, wellbeing, and providing a voice to underserved and marginalized communities, is seeking a passionate volunteer to join our team as a Wellness Volunteer.Responsibilities:Assist in planning and executing wellness-related events to promote mental health and wellbeing.Build relationships with therapists, psychologists, and other wellness experts in the community.Support the Wellness Coordinator in developing and implementing programs.Research and compile resources focused on mental health and wellness.Help design modules centered on mental health and wellbeing.Create marketing materials to promote NuWave's wellness initiatives.Perform other related tasks as assigned.Requirements:A strong interest in mental health and wellbeing.Excellent communication and interpersonal skills.Strong organizational skills and attention to detail.Ability to work collaboratively in a team environment.Estimated Time Commitment: 10-15 hours per week.As a project-based organization, we offer a flexible schedule. Your contributions will directly impact the wellbeing of our community and help us in our mission to create a more inclusive and empowered society.We look forward to hearing from you!";Soziales und Gesundheit;Förderung von mentaler Gesundheit;VM;1.0
I would like to be highly competent.;competence;"National Marketing/Communications Director
          
          


Save to Favorites";"DescriptionThe National Marketing & Communications Director is a virtual volunteer role for Guardian Angels for Soldier’s Pet responsible for the organization’s marketing and communications strategy. As the lead of the National Marketing/Communications Team, this position overseas all areas of marketing and communication for the organization.This role reports to the CEO.ResponsibilitiesStrategyDevelop creative marketing and communications strategies, plans and approaches to position the organization in front of different stakeholders (military service members, potential foster homes, potential donors, potential volunteers and the general public).Identifies challenges and emerging issues that may face the organization. Works with National Headquarters to recognize internal and external communications opportunities.Acts as a resource on best marketing/communications practices to other volunteers.Brand ManagementEnsure the brand meets the guidelines of the style guide.Overseas any new development of the organization’s brand with the Graphic Designer.Acts as a brand ambassador to the public and internal volunteers.CollateralOverseas all print collateral for the organization.Collaborates with Graphic Designer on content, layout, and design.Electronic Communications Plan the electronic communications editorial calendar (newsletters and email blasts) with Communications Manager.Collaborates with the Blog Editor on potential articles for the organization’s blog.Drafts internal communication items to distribute to volunteers.Reviews all electronic communication items prior to distribution.Social MediaOverseas social media program.WebsiteDevelops web strategy, any new webpages and ensures that website is up-to-date with the Webmaster.Media RelationsExercises judgment to prioritize media opportunities to present to the Board and CEO.Reviews all talking points to ensure that the organizations key messages are conveyed and are consistent.Serves as the Media Contact in there is no Media Relations Manager in place.Staff ManagementRecruit and manage National Marketing Team to support all marketing and communications efforts.Mentor and train volunteers on an as needed basis based on skill levels.AdministrativeResponsible to check official email account on a daily basis.Provide updates to CEO on a monthly basis.Prepares and submits the monthly ""Volunteer Service Hours"" report to the National officeDesired SkillsA passion to help our military service members, veterans, and their beloved pets plus work with other people who share this passionWriting and editing experience.Understand, follow, and adhere to the Organization’s mission, purpose, operating procedures, and organizational policies and guidelines.Professional, organized, reliable, able to work with a diverse group of people, and able to work both independently and as part of a team.Comfortable using and access to MS office pro (such as Word, Excel, Power Point) or Open Office and communicate via the internet, phone calls, and email.Have their own computer (desktop or laptop)Comfortable promoting the organization and mission with family, friends, co-workers, and other military/veteran organizationsMarketing, Communications, or Media Relations background preferred.Able to commit at least 1 year in this positionEstimated Time Per Month: averaging 35-40 hours";Soziales und Gesundheit;Unterstützung von Militärangehörigen und ihren Haustieren;VM;1.0
I would like to be highly competent.;competence;"Eating Disorders Peer Mentor
          
          


Save to Favorites";"ANAD’s Recovery Mentorship Program offers free, online support for individuals who suffer from eating disorders and are motivated for recovery. Recovery Mentors are people who have walked the difficult road to recovery from their eating disorder and are recovered for at least 2 years. Mentors support their mentees in their journey as a source of hope, wisdom, and empathy.Recovery Mentors provide ongoing encouragement, perspective, resources, and ideas to people in outpatient therapy for their eating disorders. ANAD trains and supervises volunteers so they have help every step of the way. All Recovery Mentors must complete required ANAD volunteer training. Volunteers commit to 6 months of service at a time. During these 6 months, mentors:Provide 1 hour of video chat support to each assigned mentee every weekShare recovery story with mentee when appropriateAttend monthly supervision calls; participate in online discussionsHow This Helps Our CommunityThis program is beneficial to someone in recovery, because many times they will feel very alone and like no one understands them which can trigger eating disorder behaviors. Having a Recovery Mentor will allow them to reach out for support from someone who understands what they are going through and who will not judge them.Visit anad.org/volunteer/opportunities/recovery-mentor/ to apply.Application ProcessApplyInterviewSign the agreementTrainGet matched with a mentee!";Soziales und Gesundheit;Unterstützung bei Essstörungen;VM;0.0
Setting and following my own guidelines..;competence;"YOUTH VOLUNTEERS NEEDED!!
          
          


Save to Favorites";Protect Us Kids Foundation:  Keeping You Safe OnlineHey there! At Protect Us Kids Foundation, we're all about making sure you can enjoy the internet safely. We're digging deep to understand why and how some people use the internet to harm kids, especially those who might not have a lot of support or resources. These dangers can be really serious and scary, leading to things like running away from home, human trafficking, and worse.Our mission is to give you the tools and knowledge you need to stay safe online. We're here to help kids from all backgrounds, especially those in rural and underserved areas, so you can have fun and learn online without worrying about these threats. We're here to make sure your online adventures are safe and worry-free!  Come join us!;Soziales und Gesundheit;Schutz von Kindern online;VM;0.0
Having an easy and comfortable life..;competence;"You Will Make a Huge Impact!  Social Media Help & Direction Needed for a Small Non-Profit
          
          


Save to Favorites";Hello there!You can have a huge impact for us!! Would you like to help a small non-profit reach more people through your social media expertise??  We would be so grateful for your help!  We have a YouTube channel and a small Facebook and Twritter presence, but we need to reach more people and dont know how.We would love even just a few hours of advise and counsel, but of course would welcome a lot more than that!  Whatever you have to offer.We are in the process of redoing our website and hope it iwll be done next month.  The old sad website is:  www.Neelam.orgThank you!Warmly,Dr. Jennifer Simon;Soziales und Gesundheit;Non-Profit Organisation;VM;0.0
I would like to learn new things;competence;FROM DIVERSITY TO UNITY;"Activity description
        FOR OUR VOLUNTARY PROJECT WE ARE LOOKING FOR: 6 volunteers for 12 months long project in Sępólno Krajeńskie - starting in MARCH/APRIL 2023. VOLUNTARY ACTIVITIES IN “ADULTS FOR CHILDREN” ASSOCIATION (Sępólno Krajeńskie, Poland): Work with adult people with disabilities in Occupational Therapy Workshop; with small kids in Little Child and Family Centre; with kids and youth in Therapeutic Dayroom.MORE DETAILS: https://drive.google.com/file/d/1av0I1zcXM1mJn7LxqqK5s8uFTd99eyG8/view?usp=sharing                    Accommodation, food and transport arrangements
        Volunteers will be accomodated in separate flat (3 people in one flat) with all needed equipment. There are going to receive monthly allowance and money for food. Coordinating organisation will be responsible for organising travel and buying tickets for volunteers                    Training during the activity
        Volunteers will be provided with Polish language classes and basic trainings connected with their work.                     Participant profile
        Brave, open-minded, open-hearted people between 18 and 30 years old. For more details PLEASE READ the INFOPACK ;   https://drive.google.com/file/d/1av0I1zcXM1mJn7LxqqK5s8uFTd99eyG8/view?usp=sharing We will contact selected participants as soon as possible.";Soziales und Gesundheit;Arbeit mit Menschen mit Behinderungen;EU;1.0
I would like to be in full control of ones life..;competence;"Facilitate reconnection workshops for military families
          
          


Save to Favorites";"Help US military families and veterans and their families reconnect by conducting 2 workshops per year; 60-90 minutes each.Training provided.Stay up to date on mental health research and practices for military, veterans and their familiesMust have mental health license. Sessions are held virtually, weekdays or weekends.MUST LIVE IN THE UNITED STATESA great way to support our military families";Soziales und Gesundheit;Mental health support for families;VM;0.0
Keeping things in order (my desk, office, house, etc.)..;competence;"Director of Marketing and Communications
          
          


Save to Favorites";Job Overview:This Director of Marketing and Communications is charged with developing and executing comprehensive marketing and communications strategies to elevate the organization's brand, engage the community, and support fundraising efforts. They oversee all external communications, including digital marketing, public relations, and content creation.Key Responsibilities:Develop and implement the organization's marketing and communications strategy.Oversee the creation of marketing materials, digital content, and communication campaigns.Manage media relations and public outreach to promote the organization's mission and programs.Coordinate with fundraising and program departments to support their objectives through effective marketing.Monitor and report on the effectiveness of marketing and communications strategies.Manage the organization's online presence, including social media and website.Lead brand management efforts to ensure consistency and integrity across all platforms.Oversee the marketing and communications budget and resource allocation.Engage with stakeholders to foster community support and involvement.Develop partnerships and media relationships to expand the organization's visibility.Conduct market research to inform strategic decisions and stay updated on industry trends.Mentor staff and ensure compliance with best practices and regulations.Collaborate with the fundraising team to represent the organization at events.Serve as a VPMMA spokesperson, if needed and manage internal communication.Plan for crisis communication and adapt strategies based on feedback and data.Perform other duties as assigned.Skills and Qualifications:Bachelor’s degree in Marketing, Communications, or related field preferred.Experience in marketing, communications, or related roles, preferably in the nonprofit sector.Strong communication skills, both written and verbal.Creativity and ability to develop innovative marketing strategies.Proficiency in social media platforms and digital marketing tools.Knowledge of branding principles and brand management.Ability to collaborate with diverse teams and stakeholders.Strong organizational and time management skills.Experience with media relations and public outreach.Familiarity with budget management and resource allocation.Passion for the mission and goals of the nonprofit organization.Adaptability and willingness to learn and grow in the role.Previous experience in volunteer or leadership positions is a plus. Position Overview:Position Type: VolunteerLocation: RemoteBoard Commitment:Dedicate at least 16 hours per month to VPMMA activities.Respond to communications within 24 hours, unless on a scheduled break.Actively engage in constructive collaboration.Fully participate in committee and directorate activities.Attend all meetings and provide timely notice of any absences.Term Limits:Directors serve for two-year terms, beginning January 1 following their election, or until the end of the current board term on December 31, 2025.Reports To:Vice PresidentAbout VPMMA:The Veteran Project Manager Mentor Alliance is a non-profit organization dedicated to supporting and advancing veterans' careers in project management. Our mission centers on building a supportive community through mentorship, networking, and professional development opportunities. By connecting veterans with industry resources and providing support throughout their career journey, we aim to empower them to thrive in project management.Training and Support:You will receive training on VPMMA's mission, programs, and communication strategies as a volunteer. The Executive Officers will provide ongoing support, ensuring you have the resources and guidance needed to excel as the Director of Marketing and Communications.Together, we strive to make a lasting impact on veterans' career success and contribute to a vibrant project management community.;Soziales und Gesundheit;Non-Profit Organisation;VM;0.0
I would like to be good at working with mechanical objects and technology..;competence;Senior-Buddy: Kaffee trinken gegen Alterseinsamkeit;Alterseinsamkeit belastet viele Bürger:innen und führt zu einem regelrechten Ausschluss aus der Gesellschaft. Gerade in einer digitalisierten Welt wie unserer haben ältere Personen oft im Alltag aufgrund eines fehlenden Verständnisses für Technik Probleme und werden ausgeschlossen. Wir möchten denen, die unseren Wohlstand aufgebaut haben, danken und unterstützen und die ältere Generation wieder in die Gesellschaft integrieren. Du kannst auch einen Teil dazu beitragen, indem du regelmäßig mit älteren Menschen einen Kaffee trinkst, Fragen beantwortest, zuhörst oder von deinem Leben erzählst! P.S: Meistens gibt es selbstgebackenen Kuchen :);Soziales und Gesundheit;;SELF;0.0
I would like to avoid failure.;competence;"Volunteer Social Media Manager
          
          


Save to Favorites";Position : Volunteer Social Media ManagerLocation:  Los Angeles, CaliforniaReports to : Executive Director We are seeking a passionate and skilled individual to join our team as a Social Media Volunteer. You will play a crucial role in upholding and enhancing the social media presence of our non-profit organization. Your efforts will directly contribute to driving engagement, spreading awareness, leading fundraising campaigns, and supporting our mission and objectives.Responsibilities Develop high-quality, original written and visual content focused on food equity, urban ag and positive health outcomes and help define each social media campaign, so it is aligned with our mission and goals. Build and maintain a strong online presence for GHG across various social media platforms. Manage online communities effectively, fostering respectful and engaging interactions while upholding the values and principles of GHG. Respond promptly and professionally to comments, messages, and inquiries across all social media platforms, fostering positive engagement with our audience and communicating requests to our internal team promptly. Plan and execute social media advertising campaigns to promote GHG initiatives, events, and programs. Evaluate the effectiveness and impact of social media campaigns, making data-driven recommendations for optimization. Ensure consistency in messaging and branding across all communication channels.Requirements Demonstrated experience in managing social media accounts and campaigns, preferably within a non-profit or community-focused organization. Build and maintain a strong online presence for GHG across various social media platforms. Manage online communities effectively, fostering respectful and engaging interactions while upholding the values and principles of GHG. Respond promptly and professionally to comments, messages, and inquiries across all social media platforms, fostering positive engagement with our audience and communicating requests to our internal team promptly. Plan and execute social media advertising campaigns to promote GHG initiatives, events, and programs. Proven ability to develop and implement effective social media strategies aligned with organizational objectives. Experience in creating and executing marketing plans, with a focus on leveraging social media channels for outreach and engagement. Adapting content and communication styles to suit different social media platforms, with a keen understanding of audience preferences and behaviors. Ability to cultivate and nurture online communities, fostering engagement and dialogue around GHG’s mission and initiatives. Basic understanding of graphic design principles and tools, with the ability to create visually appealing content and effective hashtags for social media posts and campaigns. Familiarity with social media analytics tools and techniques for measuring the success and impact of campaigns, with a focus on continuous improvement. Previous experience as a Brand Manager or similar role within the realm of social media, particularly within the non-profit sector, would be advantageous. Note: This job description is a general guideline and may be subject to change based on the evolving needs of Growing Hope Gardens. carolyn@growinghopegardens.org www.growinghopegardens.org;Soziales und Gesundheit;Non-Profit-Organisation;VM;0.0
I would like to avoid failure.;competence;in-home services administration support volunteer;"the in-home services administration support volunteer provides administrative and clerical assistance to support the smooth running of links2care in-home services and day to day operations.  
as a volunteer of links2care, the volunteer will actively demonstrate links2care values and will promote and support the mission and vision of the agency.

•	interacts professionally in accordance with links2care code of conduct and human rights act.
•	maintains complete confidentiality of client information in accordance with links2care confidentiality/privacy policy.
•	maintains a safe and healthy work environment.
•	provides administrative support to links2care staff, which may include, but is not limited to: 
o	using various office equipment and computer software; 
o	updating and maintaining databases and data entry; 
o	photocopying, faxing and scanning; 
o	assembling packages of documentation;
o	making telephone calls and discussing service with clients;
•	provides excellent customer service to staff, clients, volunteers, and other stakeholders.
•	collects and maintains information in accordance with links2care confidentiality/privacy policy.
•	participates in annual volunteer survey.
•	performs other duties as assigned.";Soziales und Gesundheit;Unterstützung von In-Home-Services;VC;0.0
I would like to carefully think through decisions..;competence;heart home network pantry - bread packaging;"pack bulk bread and pastries into individual bags
• stock fresh food pantry and freezer with new bread
• tidy fresh food pantry – take old bread to compost & wipe shelves";Soziales und Gesundheit;Lebensmittelversorgung und -verteilung;VC;0.0
I would like to avoid failure.;competence;canadian blood services lethbridge;"make all the difference and join canada’s lifeline!   

whether it’s supporting donors throughout the donation process, recruiting new donors, or raising awareness about the importance of our lifesaving programs; our volunteers are a vital link in canada’s lifeline.  

we are looking for volunteers to join our team at the lethbridge plasma donor centre, 3735 mayor magrath dr. s. volunteers must be 16 years of age or older, received the core 2 doses of the covid-19 vaccination, and able to volunteer for at least 12 hours/month for 4 months or longer.  

donor centre volunteers – these volunteers greet donors with a smile, make conversation, and support them throughout their donation process. the care and attention you give is often a key reason why donors return.  shifts range between 3-4 hours with morning, afternoon, evening, and weekend shifts. 

awareness and recruitment volunteers – these volunteers go into the community to spread awareness and recruit new donors. you will promote the impact of joining canadian blood services and recruit new donors at a variety of events, such as health fairs, outdoor markets, and information tables.  to excel in this role, you should be outgoing and enjoy working with people. shifts and commitment needs will vary depending on the event schedule.  

whether you want to develop new skills, grow your network, help us improve the donor experience, or simply make a difference in your community, don't wait and apply today https://bttr.im/eqgwm   to become a volunteer and make all the difference for patients across canada.";Soziales und Gesundheit;Blutspendedienst;VC;0.0
